,gene_name,0528 cell,0528 EV,0618 EV,0622 EV,0618 cell,0622 cell
115,AK4,691517.0413,170562.641,276711.8974,228245.115,1017829.826,509715.6162
116,AKAP12,41903930.3499,9116915.09578,9011732.04887,14083993.05838,42910685.2408,45656158.82396
117,AKAP13,396756.9245,78252.80245,111555.80056999999,93665.52090999999,779129.3932,495343.1986
118,AKAP8L,196690.7342,82535.07709,171139.3501,110576.3497,276205.9132,223131.0514
119,AKR1A1,34807805.3337,5251968.95028,8829143.10551,8145887.67666,37119922.1855,35277770.2514
120,AKR1B1,34499987.7633,5896018.95247,9430544.6089,8275270.5299,36097716.9075,35621207.8973
121,AKR7A2,33898034.8909,7093393.23379,8092629.73671,6004323.187589999,29966507.5686,34896202.6897
122,AKT1,439501.2811,68689.7412,101307.9095,111168.2195,787026.3712,478609.3018
123,AKT1S1,3401225.418,493443.2432,441624.1723,541843.95,6231807.764,3212155.304
124,AKT2,66778485.79829,15385203.576639,16870101.197317,19696156.74685,62240972.794529,92405054.760619
125,ALB,71640490.897456,651671573.54943,2570058785.25225,6122701409.1059,29772463.131185,116291229.83898999
126,ALCAM,2038421.9062430002,1708664.5912640002,3280369.96579,2755558.51273,2371848.602735,1983274.3660010002
127,ALDH16A1,54169.09205,31935.33871,51790.67422,42104.74304,80308.32395,58674.24484
128,ALDH18A1,30026363.91539,2207554.657365,3309539.847321,3116327.907405,38817743.62957,30993829.96287
129,ALDH1A1,1384266.4,225726.08395,330978.52390000003,452247.9521,2899105.088,1210977.0277
130,ALDH1A3,17171965.099969998,6334622.566203,6231831.66546,5694076.749439999,17426872.36978,22512508.66963
131,ALDH1B1,8380780.098999999,985772.40169,1289524.07197,1108901.43116,9082344.830699999,8922905.3246
132,ALDH3A2,1936497.5014,239473.96343,278277.05809,243216.73471,2694186.8729999997,2135996.355
133,ALDH4A1,1834687.0395,68975.67474,92527.35713,123559.01231,1798694.1704,2041471.2491
134,ALDH7A1,9199178.78693,1515605.546263,1914978.377406,2856060.73349,9594865.03687,10835533.18296
135,ALDH9A1,31645803.058592,7642496.8191060005,10809046.271221,6945264.123483,38717927.0475,36291519.111116
136,ALDOA,1586632560.186735,252189094.092181,504849131.944716,462548241.997302,1555157598.0438309,1727352097.914737
137,ALDOC,5928466.170299999,991227.98965,1922574.21954,1435097.60409,8683493.2069,6430202.461800001
138,ALG1,4395688.8625300005,431801.300232,583578.698296,726389.933807,6626365.39891,5132518.81006
139,ALG6,1673250.426,136542.0124,160319.1208,186727.9414,2794105.343,1691638.858
140,ALPG,27207503.16714,53176322.97513,54587770.70331,65897767.029750004,33841073.41732,33351986.1341
141,ALYREF,30233262.031549998,2220876.913517,3132015.233037,3370597.40095,57595278.02307,31789669.845820002
142,AMBP,163928.4103,1233890.232,4266323.429,8206396.7,22511.5044,208231.4157
143,AMIGO2,110832.1244,87277.26678,181884.3682,162464.8932,158924.2249,129868.3305
144,AMPD2,879973.3876,208315.3813,316084.9403,225080.1011,1127654.382,999511.8383
145,ANAPC7,2157487.269,954705.4524,1628227.171,805648.5013,1827358.67,2603089.299
146,ANGPTL4,4621839.7665,15205298.118700001,31480106.4496,15073897.6892,5520975.636120001,5084911.1124
147,ANKEF1,6918169.744,1959789.5621,2650851.6201,1328493.5153,6441303.648,8800680.837
